city,title,price,location,area,building_area,bedrooms,bathrooms,garage
Jakarta Selatan,Dijual Rumah Sultan Mewah Full Furnish Di Kemang Jakarta Selatan,Rp 45 Miliar,"Kemang, Jakarta Selatan",: 730 m²,: 1100 m²,7,8,10
Jakarta Selatan,Rumah Mewah S Pool Cilandak  Jakarta Selatan,"Rp 69,9 Miliar","Cilandak, Jakarta Selatan",: 4500 m²,: 2500 m²,12,8,5
Jakarta Selatan,"Rumah Mewah 3 Lantai Ada Roof Top, Dalam Komplek Ekslusif di Pondok Indah Dekat Pim","Rp 7,91 Miliar","Pondok Indah, Jakarta Selatan",: 128 m²,: 302 m²,3,3,2
Jakarta Selatan,Rumah 1 Lantai Di Cipete Kebayoran Baru Lokasi Bagus Ada Pool Shm,"Rp 14,5 Miliar","Cipete, Jakarta Selatan",: 518 m²,: 450 m²,5,6,5
Jakarta Selatan,Rumah Bagus Rapih Siap Huni di Sektor 6 Bintaro Jakarta Selatan dp,Rp 3 Miliar,"Bintaro, Jakarta Selatan",: 120 m²,: 90 m²,4,2,
Jakarta Selatan,Dijual Rumah Cluster Private Pool Di Kebagusan Jakarta Selatan,"Rp 4,25 Miliar","Kebagusan, Jakarta Selatan",: 127 m²,: 280 m²,6,5,1
Jakarta Selatan,Dijual Rumah Cluster Di Jagakarsa Jakarta Selatan,Rp 875 Juta,"Jagakarsa, Jakarta Selatan",: 38 m²,: 80 m²,3,3,1
Jakarta Selatan,Rumah American Classic Di Senopati Jakarta Selatan Shm Bagus,"Rp 16,9 Miliar","Senopati, Jakarta Selatan",: 208 m²,: 500 m²,3,3,2
Jakarta Selatan,"Dijual Rumah Hitung Tanah  Harga Dibawah Njop, Zonasi Komersil","Rp 21,5 Miliar","Kebayoran Lama, Jakarta Selatan",: 1322 m²,: 500 m²,5,3,
Jakarta Selatan,Dijual Cepat Perumahan Mewah Simprug Jak-Sel,Rp 25 Miliar,"Simprug, Jakarta Selatan",: 662 m²,: 500 m²,4,4,1
